"Key","Issue Type","Parent","Summary","Status","Assignee","Sprint","Start date","Inferred start date","Due date","Inferred due date","Issue color"
"RMP1-8","Epic","","Intake Form","Done","","","","2024/09/17","","2024/11/27","purple"
"RMP1-44","Story","RMP1-8","Update Validation on Client Intake Form","Done","Sam Tahiri","RMP1 Sprint 2","","2024/10/22","","2024/11/01","purple"
"RMP1-75","Story","RMP1-8","Fix authentication for intake form","Done","Doug Shipp","RMP1 Sprint 3","","2024/11/04","","2024/11/15","purple"
"RMP1-41","Story","RMP1-8","[SPIKE] Form Builder Plugin","Done","Doug Shipp","","","","","","purple"
"RMP1-39","Story","RMP1-8","Send Intake Form","Done","Doug Shipp","","","","","","purple"
"RMP1-38","Story","RMP1-8","[SPIKE] Radio Group Styling","Done","Doug Shipp","","","","","","purple"
"RMP1-37","Story","RMP1-8","[SPIKE] Custom Checkbox Group","Done","Doug Shipp","","","","","","purple"
"RMP1-36","Story","RMP1-8","[SPIKE] Custom form estimation","Done","Doug Shipp","RMP1 Sprint 1","","2024/09/17","","2024/10/01","purple"
"RMP1-27","Story","RMP1-8","[SPIKE] Email Intake Form","Done","Doug Shipp","RMP1 Sprint 1","","2024/09/17","","2024/10/01","purple"
"RMP1-9","Story","RMP1-8","View all Intake Forms","Done","Doug Shipp","","","","","","purple"
"RMP1-10","Story","RMP1-8","Add/view/edit a single Intake Form","Done","Doug Shipp","","","","","","purple"
"RMP1-43","Story","RMP1-8","Email Template Formatting/Configuration","Done","Doug Shipp","RMP1 Sprint 3","","2024/11/04","","2024/11/15","purple"
"RMP1-74","Story","RMP1-8","Add RÖRE logo to user-facing intake form","Done","Doug Shipp","RMP1 Sprint 4","","2024/11/18","","2024/11/27","purple"
"RMP1-64","Story","RMP1-8","Add stepper to user-facing intake form","Done","Doug Shipp","RMP1 Sprint 4","","2024/11/18","","2024/11/27","purple"
"RMP1-4","Epic","","Health History Form","In Progress","","","","2024/11/04","","2024/11/15","purple"
"RMP1-5","Story","RMP1-4","View all Health History Forms","Done","","","","","","","purple"
"RMP1-6","Story","RMP1-4","Add/view/edit a single Health History Form","Done","Sam Tahiri","RMP1 Sprint 3","","2024/11/04","","2024/11/15","purple"
"RMP1-14","Epic","","Clients","Done","","","","2024/09/17","","2024/11/27","purple"
"RMP1-50","Story","RMP1-14","Client Profile: change “Assessment Data” label to “Movement Evaluations”","Done","Jacob Williams","RMP1 Sprint 2","","2024/10/22","","2024/11/01","purple"
"RMP1-17","Story","RMP1-14","Add a new Client","Done","Jacob Williams","RMP1 Sprint 1","","2024/09/17","","2024/10/01","purple"
"RMP1-15","Story","RMP1-14","View all Clients","Done","Jacob Williams","RMP1 Sprint 1","","2024/09/17","","2024/10/01","purple"
"RMP1-16","Story","RMP1-14","View/edit a single Client Profile","Done","Jacob Williams","RMP1 Sprint 1","","2024/09/17","","2024/10/01","purple"
"RMP1-72","Story","RMP1-14","Add message under intake form button while button is disabled","Done","Doug Shipp","RMP1 Sprint 3","","2024/11/04","","2024/11/15","purple"
"RMP1-78","Bug","RMP1-14","Client Profile: Preferred contact method radio button not selectable","Done","","RMP1 Sprint 3","","2024/11/04","","2024/11/15","purple"
"RMP1-63","Story","RMP1-14","Add Rich Text field for enhanced note taking","Done","Doug Shipp","RMP1 Sprint 4","","2024/11/18","","2024/11/27","purple"
"RMP1-11","Epic","","Users","In Progress","","","","2024/09/17","","2024/11/15","purple"
"RMP1-62","Story","RMP1-11","Add credential/certification fields to User Profile","Done","Sam Tahiri","RMP1 Sprint 3","","2024/11/04","","2024/11/15","purple"
"RMP1-13","Story","RMP1-11","Add/view/edit a single User","Done","Doug Shipp","RMP1 Sprint 1","","2024/09/17","","2024/10/01","purple"
"RMP1-12","Story","RMP1-11","View all Users","Done","Doug Shipp","RMP1 Sprint 1","","2024/09/17","","2024/10/01","purple"
"RMP1-71","Story","RMP1-11","Tweaks to User fields","Done","Doug Shipp","RMP1 Sprint 3","","2024/11/04","","2024/11/15","purple"
"RMP1-2","Epic","","Movement Evaluation","In Progress","","","","2024/10/22","","2024/11/27","purple"
"RMP1-48","Story","RMP1-2","Auto-populate Client fields in eval forms","To Do","Jacob Williams","RMP1 Sprint 2","","2024/10/22","","2024/11/01","purple"
"RMP1-79","Story","RMP1-2","Adjust linked tests for baselines that only have special tests","Done","Jacob Williams","RMP1 Sprint 3","","2024/11/04","","2024/11/15","purple"
"RMP1-33","Story","RMP1-2","Pre-Populating Movement Evals","Done","Jacob Williams","RMP1 Sprint 2","","2024/10/22","","2024/11/01","purple"
"RMP1-58","Story","RMP1-2","Seed result type for each test (special tests = positive/negative)","Done","Jacob Williams","RMP1 Sprint 2","","2024/10/22","","2024/11/01","purple"
"RMP1-54","Story","RMP1-2","Add Special Exam collection","Done","Jacob Williams","RMP1 Sprint 2","","2024/10/22","","2024/11/01","purple"
"RMP1-53","Story","RMP1-2","Visually hide the Movement Evaluation Field in Exams","Done","Jacob Williams","RMP1 Sprint 2","","2024/10/22","","2024/11/01","purple"
"RMP1-46","Story","RMP1-2","Hide Relationship Test Name field and show Test Name on Array/Row Label","Done","Jacob Williams","RMP1 Sprint 2","","2024/10/22","","2024/11/01","purple"
"RMP1-81","Story","RMP1-2","Tweaks to evaluation (from user testing)","Done","Jacob Williams","RMP1 Sprint 3","","2024/11/04","","2024/11/15","purple"
"RMP1-45","Story","RMP1-2","Filter & Sort Movement Tests","Done","Jacob Williams","RMP1 Sprint 3","","2024/11/04","","2024/11/15","purple"
"RMP1-57","Story","RMP1-2","Add field to Movement Test configuration (follow-ups)","Done","Jacob Williams","RMP1 Sprint 2","","2024/10/22","","2024/11/01","purple"
"RMP1-90","Story","RMP1-2","add evaluation types to all exams","Done","Jacob Williams","RMP1 Sprint 4","","2024/11/18","","2024/11/27","purple"
"RMP1-82","Story","RMP1-2","Add upload field to Postural tab","Done","Jacob Williams","RMP1 Sprint 4","","2024/11/18","","2024/11/27","purple"
"RMP1-60","Story","RMP1-2","Create visual groups of tests","To Do","","RMP1 Sprint 2","","2024/10/22","","2024/11/01","purple"
"RMP1-61","Story","RMP1-2","Add ability to skip a test / Mark as won’t do","To Do","","","","","","","purple"
"RMP1-52","Story","RMP1-2","Disable dragging/re-sorting for array field (baseline & follow-up exams)","Done","Jacob Williams","","","","","","purple"
"RMP1-42","Story","RMP1-2","Clean Up Work","Done","Jacob Williams","","","","","","purple"
"RMP1-35","Story","RMP1-2","Add Levels Collection","Done","Jacob Williams","","","","","","purple"
"RMP1-34","Story","RMP1-2","Add all Observations","Done","Jacob Williams","","","","","","purple"
"RMP1-32","Story","RMP1-2","[SPIKE] Saving/accessing data across tabs","Done","Jacob Williams","","","","","","purple"
"RMP1-31","Story","RMP1-2","View all Movement Evaluations","Done","Jacob Williams","","","","","","purple"
"RMP1-30","Story","RMP1-2","Change Result ID","Done","Jacob Williams","","","","","","purple"
"RMP1-29","Story","RMP1-2","Comment out Parameters Collection","Done","Jacob Williams","","","","","","purple"
"RMP1-28","Story","RMP1-2","Add All Movement Tests (Seed data)","Done","Jacob Williams","","","","","","purple"
"RMP1-1","Story","RMP1-2","Configure Movement Test","Done","Jacob Williams","","","","","","purple"
"RMP1-3","Story","RMP1-2","View all Movement Tests","Done","Jacob Williams","","","","","","purple"
"RMP1-68","Bug","RMP1-2","Custom dropdowns","Done","Jacob Williams","RMP1 Sprint 2","","2024/10/22","","2024/11/01","purple"
"RMP1-55","Story","RMP1-2","Revise Movement Test layout","Done","Jacob Williams","RMP1 Sprint 3","","2024/11/04","","2024/11/15","purple"
"RMP1-40","Story","RMP1-2","Autosave Evaluations","Done","Doug Shipp","RMP1 Sprint 3","","2024/11/04","","2024/11/15","purple"
"RMP1-49","Story","RMP1-2","Limit Baseline and Follow-up exams to 1 each per movement evaluation","To Do","","RMP1 Sprint 4","","2024/11/18","","2024/11/27","purple"
"RMP1-76","Story","RMP1-2","Swap document title for client name","To Do","Jacob Williams","RMP1 Sprint 4","","2024/11/18","","2024/11/27","purple"
"RMP1-89","Story","RMP1-2","Bring back movement evaluations","Done","Jacob Williams","RMP1 Sprint 4","","2024/11/18","","2024/11/27","purple"
"RMP1-70","Epic","","Training Data","To Do","","","","2024/11/18","","2024/11/27","purple"
"RMP1-92","Story","RMP1-70","Updates to Strength Training form","In Progress","Jacob Williams","RMP1 Sprint 4","","2024/11/18","","2024/11/27","purple"
"RMP1-84","Story","RMP1-70","Add ""Strength Training"" collection","Done","Jacob Williams","RMP1 Sprint 4","","2024/11/18","","2024/11/27","purple"
"RMP1-83","Story","RMP1-70","Create training data form (template)","Done","Jacob Williams","RMP1 Sprint 4","","2024/11/18","","2024/11/27","purple"
"RMP1-19","Epic","","Admin Dashboard/Login","In Progress","","","","2024/09/17","","2024/11/27","purple"
"RMP1-67","Story","RMP1-19","Clean up collections","Done","Jacob Williams","RMP1 Sprint 3","","2024/11/04","","2024/11/15","purple"
"RMP1-21","Story","RMP1-19","Swap Payload logo with RÖRE logo","Done","Doug Shipp","RMP1 Sprint 1","","2024/09/17","","2024/10/01","purple"
"RMP1-77","Story","RMP1-19","Add RÖRE branding","Done","Doug Shipp","RMP1 Sprint 4","","2024/11/18","","2024/11/27","purple"
"RMP1-18","Epic","","Tech Evaluation","To Do","","","","","","","purple"
"RMP1-20","Epic","","Tech Setup/Miscellaneous","In Progress","","","","2024/09/17","","2024/11/27","purple"
"RMP1-47","Story","RMP1-20","Github Repo Configuration","Done","Sam Tahiri","RMP1 Sprint 3","","2024/11/04","","2024/11/15","purple"
"RMP1-59","Story","RMP1-20","Update roles and limit collection access","Done","Jacob Williams","RMP1 Sprint 3","","2024/11/04","","2024/11/15","purple"
"RMP1-91","Story","RMP1-20","Update payload to stable release version","Done","Jacob Williams","RMP1 Sprint 4","","2024/11/18","","2024/11/27","purple"
"RMP1-26","Story","RMP1-20","Create demo environment","Done","Doug Shipp","RMP1 Sprint 3","","2024/11/04","","2024/11/15","purple"
"RMP1-22","Story","RMP1-20","Set up access control","Done","Doug Shipp","RMP1 Sprint 1","","2024/09/17","","2024/10/01","purple"
"RMP1-23","Story","RMP1-20","Create accounts","Done","Doug Shipp","RMP1 Sprint 1","","2024/09/17","","2024/10/01","purple"
"RMP1-65","Story","RMP1-20","Update Beta to v116 from v109","Done","Sam Tahiri","","","","","","purple"
"RMP1-69","Task","RMP1-20","Update payload beta version","Done","Jacob Williams","RMP1 Sprint 3","","2024/11/04","","2024/11/15","purple"
"RMP1-85","Task","RMP1-20","Add separate database for preview deployments","Done","Doug Shipp","RMP1 Sprint 3","","2024/11/04","","2024/11/15","purple"
"RMP1-86","Task","RMP1-20","Integrate Vercel with Mongo Atlas","Done","Doug Shipp","RMP1 Sprint 3","","2024/11/04","","2024/11/15","purple"
"RMP1-80","Task","RMP1-20","Add Seed data to Production Environment","Done","Doug Shipp","RMP1 Sprint 3","","2024/11/04","","2024/11/15","purple"
"RMP1-88","Story","RMP1-20","Add Storage Adapter for file uploads","Done","Doug Shipp","RMP1 Sprint 4","","2024/11/18","","2024/11/27","purple"
