ID,Work Item Type,State,Iteration Path,Title,Description,Acceptance Criteria,Comments,Assigned To
"33494","User Story","Closed","MiCOURT\Atomic Object\Forms and Portal Enhancements","Modal should pop up for both instances when use same sequence check box changes","<div style=""font-size:14px;""><b>Context</b> </div><div style=""font-size:14px;""><i></i> </div><div style=""font-size:14px;"">There is a checkbox that determines whether a user wants to use the same sequence for CIVIL and TRAFFIC/CRIMINAL cases. When checkbox changes from being unchecked to checked a modal pops up confirming the choice (this behavior already exists). The same confirmation modal should pop up when changing from checked to unchecked. </div><div style=""font-size:14px;""><i><br></i> </div><div style=""font-size:14px;""><b>Technical Notes</b> </div><div style=""font-size:14px;""><i></i> </div>The docs-tenant-checkbox.component.ts file is where this logic is currently being implemented.<div style=""font-size:14px;""><i><br></i> </div><div style=""font-size:14px;""><b>Design</b> </div><div style=""font-size:14px;""><b><br></b> </div><div style=""font-size:14px;"">Figma link </div><div style=""font-size:14px;""><ul><li><a href=""https://www.figma.com/file/f577nrKafqKB7x3rvRHMOt/MiCourt-Portal-%26-Forms?type=design&amp;node-id=12756-30637&amp;mode=design&amp;t=Ikc9NQyJLUUltki6-11"">Single sequence confirmation</a> </li><li><a href=""https://www.figma.com/file/f577nrKafqKB7x3rvRHMOt/MiCourt-Portal-%26-Forms?type=design&amp;node-id=12756-30659&amp;mode=design&amp;t=Ikc9NQyJLUUltki6-11"">Multiple sequence confirmation</a> </li> </ul> </div><div style=""font-size:14px;""><br> </div><div style=""font-size:14px;""><strike>Check with design on specific wording for the modal. </strike> </div>","<div style=""font-size:14px;""><ul><li>when unchecking 'use same sequence' a confirmation modal pops up. </li><li>ensure &quot;esc&quot; keypress closes modal </li><li>ensure &quot;tab&quot; keypresses only focus between confirm, cancel, and exit buttons </li> </ul> </div>",,"Jacob Williams <jacob.williams@atomicobject.com>"
"30708","User Story","Closed","MiCOURT\Atomic Object\Forms and Portal Enhancements\AO-03-SEP26","Auto-Case Numbering: Cancellation modal/prompt (exiting before saving)","<div><b>Figma</b>:&nbsp;<a href=""https://www.figma.com/file/f577nrKafqKB7x3rvRHMOt/JIS-MiCourt?node-id=8655-77540&amp;t=jFzG1AdXy6s2GrNS-4"">https://www.figma.com/file/f577nrKafqKB7x3rvRHMOt/JIS-MiCourt?node-id=8655-77540&amp;t=jFzG1AdXy6s2GrNS-4</a><br> </div><div><br> </div><div>Clicking Cancel navigates to the&nbsp;<span style=""box-sizing:border-box;display:inline !important;""><span style=""box-sizing:border-box;"">&nbsp;</span></span><a href=""https://www.figma.com/file/f577nrKafqKB7x3rvRHMOt/JIS-MiCourt?node-id=6343-54320&amp;t=ou4kRRmqdgQiMhdJ-4"" style=""box-sizing:border-box;text-decoration:underline;cursor:pointer;"">court administration page</a><span style=""display:inline !important;"">.</span> </div><div>Navigating away from the page presents the cancel modal. Modal has option to cancel or discard. </div><div><br> </div><div><img src=""https://dev.azure.com/mi-jis/0547c096-a601-46b0-9f3f-f8b8197e7ccb/_apis/wit/attachments/ef08d570-0813-4da3-9d01-22aecce8a71f?fileName=image.png"" alt=Image><br> </div><div><br> </div>","<br><ul><li><div style=""box-sizing:border-box;text-align:start;"">Clicking Cancel navigates to the<span style=""box-sizing:border-box;display:inline !important;""><span style=""box-sizing:border-box;"">&nbsp;</span></span><a href=""https://www.figma.com/file/f577nrKafqKB7x3rvRHMOt/JIS-MiCourt?node-id=6343-54320&amp;t=ou4kRRmqdgQiMhdJ-4"" style=""box-sizing:border-box;text-decoration:underline;cursor:pointer;"">court administration page</a><span style=""box-sizing:border-box;display:inline !important;"">.</span> </div> </li><li><div style=""box-sizing:border-box;text-align:start;""><span style="""">Navigating away from the page presents the cancel modal.&nbsp;&nbsp;</span> </div> </li><li><div style=""box-sizing:border-box;text-align:start;""><span style="""">Confirmation Modal has option to cancel or discard.</span> </div> </li> </ul>",,"Jacob Williams <jacob.williams@atomicobject.com>"
"33751","Bug","Closed","MiCOURT\Atomic Object\Forms and Portal Enhancements","Update ""Auto Case"" to ""Auto-Case"" in ACN modals",,,,"Jacob Williams <jacob.williams@atomicobject.com>"
"33758","Bug","Closed","MiCOURT\Atomic Object\Forms and Portal Enhancements\AO-03-SEP26","New ""Current Date"" function is returning UTC time instead of local time",,,,"Jacob Williams <jacob.williams@atomicobject.com>"
"38380","User Story","Closed","MiCOURT\Atomic Object\Finance\AO-25-JUN18","Confirmation Messages: Send Out Confirmation Messages For Existing Users Opting In","<div>Confirmation messages are sent out for users who have previously consented to being contacted by MiCourt Reminders. In the event that one of these users is being added to a payment plan, one of these confirmation messages should be sent out instead of a consent message. </div><div><br> </div><div>The existing functionality for sending consent messages should be nearly the same for this effort. </div><div><br> </div><div><b>Reminders API</b> </div><div>Build a new endpoint for sending out these emails and texts messages. </div>","<div>For users that have already been marked as consented, they receive the confirmation message/email instead of the prompt for consent. </div>",,"Jacob Williams <jacob.williams@atomicobject.com>"
"37976","User Story","Closed","MiCOURT\Atomic Object\Finance\AO-24-JUN4","Finance Release 6-4-24",,,,"Jacob Williams <jacob.williams@atomicobject.com>"
"37574","User Story","Closed","MiCOURT\Atomic Object\Finance\AO-24-JUN4","Consent Messages: Send out Consent Messages for Finance Reminders","<div style=""box-sizing:border-box;"">A new consent message must be sent out when a reminder is added to a payment plan and the user has not already responded to a consent message for the given contact. </div><div style=""box-sizing:border-box;""><br> </div><div style=""box-sizing:border-box;""><b>Reminders API</b> </div><div style=""box-sizing:border-box;"">Create a POST endpoint that sends the consent messages out. It should take a list of reminders and send them out via the appropriate messaging service. The endpoint should return a count of how many consent messages were successfully sent out. </div>","<div><ul><li>Text reminders should be sent out with Twilio </li><li>Email reminders should be sent out with SendGrid </li><li>Both can be viewed and tested in real time (i.e. we can receive a consent message) </li> </ul> </div>",,"Jacob Williams <jacob.williams@atomicobject.com>"
"37242","User Story","Closed","MiCOURT\Atomic Object\Finance\AO-27-JUL25","GET endpoint for sending upcoming reminders to the Reminders API","<div>In the Finance API, create a new endpoint that returns a list of reminders that will be sent to the reminders api, who will then prepare to send them out to users. </div><div><br> </div><div>A reminder is considered upcoming if: </div><div><ul><li>its payment plan's due date is within 5 days of the current date </li><li>consent has been granted for the given tenant </li> </ul> </div><div>The shape of a reminder should be: </div><div><ul><li>tenant key </li><li>contact information </li><li>payment due date </li><li>payment amount </li> </ul> </div>","<ul><li>Get endpoint returns all upcoming reminders that need to be sent out in the proper shape </li> </ul>",,"Jacob Williams <jacob.williams@atomicobject.com>"
"37575","User Story","Closed","MiCOURT\Atomic Object\Finance\AO-06-SEP26","Consent Messages: Receiving a Consent Response for Emails","<div>When a user responds to their consent email (they click the blue confirm button), we need to update the consent status of the reminder associated with that contact value. </div><div><br> </div><div>This is already implemented for text messages, but emails in the reminders api are created/stored with a unique consent token.&nbsp;<span>This guid is used for the `v2/reminders/subscribe` and `v2/reminders/unsubscribe` PUT endpoints, allowing for the email's consent status to be updated accordingly. In finance, we do not have any concept of this token.</span> </div><div><span><br></span> </div><div><span>We'll create a concept of this consent token for finance, and it will be created only when email reminder (whose consent token does not exist in reminders already) is added to the system.</span> </div><div><span><br></span> </div><div><span><b>Finance API</b></span> </div><div>Add a new field for the email consent token to the relevant models for reminders. We'll also need to update the methods used to create reminders in the Create/Edit payment plan workflows. </div><div><br> </div><div>We may also need a new GET endpoint that retrieves this guid for the reminders api, but it's possible we can modify the `VerifyContactValueAsync` GET endpoint to serve this purpose. </div><div><br> </div><div><b>Reminders API</b> </div><div>Implement the usage of this consent token in the `BuildConsentMessage` method in the `EmailAccountService.cs`. We need to leave the existing functionality intact, but add support for reminders that exist in our finance system. </div>","<div><ul><li>when a user responds to an email consent message, they are redirected to the correct micourt page appropriately indicating their decision </li><li>the corresponding reminder's consent status is updated in the finance db </li> </ul> </div>",,"Jacob Williams <jacob.williams@atomicobject.com>"
"37112","User Story","Closed","MiCOURT\Atomic Object\Finance\AO-24-JUN4","Consent Messages: Update Consent Status of a Reminder","<div>After a user responds to their consent message, we need to update the corresponding reminder's consent status with their response. </div><div><br> </div><div><b>Finance API</b> </div><div>Create a PUT endpoint that updates the consent status value for all reminders in the Finance DB matching the contact type, contact value and court tenant. </div>","<ul><li>the consent status of existing reminders can be updated to a new value </li> </ul>",,"Jacob Williams <jacob.williams@atomicobject.com>"
